"hospc_2013_DATA",33941,"A000000","Line(00600)","0600ADMINISTRATIVE AND GENERAL","244671","57269","2787","49744","160754","515225", ,"515225", ,"515225", , , , , 
"hospc_2013_DATA",33941,"A000000","Line(01000)","1000INPATIENT- GENERAL CARE", , , ,"72844", ,"72844", ,"72844", ,"72844", , , , , 
"hospc_2013_DATA",33941,"A000000","Line(01100)","1100INPATIENT- RESPITE CARE", , , , , , , , , , , , , , , 
"hospc_2013_DATA",33941,"A000000","Line(01500)","1500PHYSICIAN SERVICES","40200", , ,"6652", ,"46852", ,"46852", ,"46852", , , , , 
"hospc_2013_DATA",33941,"A000000","Line(01600)","1600NURSING CARE","356703","75414","28334", , ,"460451", ,"460451", ,"460451", , , , , 
"hospc_2013_DATA",33941,"A000000","Line(01601)","1601NURSING CARE", , , , , , , , , , , , , , , 
"hospc_2013_DATA",33941,"A000000","Line(01620)","1620NURSING CARE - CONTINUOUS HOME C", , , , , , , , , , , , , , , 
"hospc_2013_DATA",33941,"A000000","Line(01700)","1700PHYSICAL THERAPY", , , ,"2159", ,"2159", ,"2159", ,"2159", , , , , 
"hospc_2013_DATA",33941,"A000000","Line(01800)","1800OCCUPATIONAL THERAPY", , , ,"673", ,"673", ,"673", ,"673", , , , , 
"hospc_2013_DATA",33941,"A000000","Line(01900)","1900SPEECH/LANGUAGE PATHOLOGY", , , , , , , , , , , , , , , 
"hospc_2013_DATA",33941,"A000000","Line(02000)","2000MEDICAL SOCIAL SERVICES","69288","13941","3098", , ,"86327", ,"86327", ,"86327", , , , , 
"hospc_2013_DATA",33941,"A000000","Line(02001)","2001MEDICAL SOCIAL SERVICES", , , , , , , , , , , , , , , 
"hospc_2013_DATA",33941,"A000000","Line(02100)","2100SPIRITUAL COUNSELING","35274","14012","2039", , ,"51325", ,"51325", ,"51325", , , , , 
"hospc_2013_DATA",33941,"A000000","Line(02101)","2101SPIRITUAL COUNSELING", , , , , , , , , , , , , , , 
"hospc_2013_DATA",33941,"A000000","Line(02200)","2200DIETARY COUNSELING", , , , , , , , , , , , , , , 
"hospc_2013_DATA",33941,"A000000","Line(02300)","2300COUNSELING-OTHER", , , , , , , , , , , , , , , 
"hospc_2013_DATA",33941,"A000000","Line(02400)","2400HOME HEALTH AIDE AND HOMEMAKER","128096","38171","19055", , ,"185322", ,"185322", ,"185322", , , , , 
"hospc_2013_DATA",33941,"A000000","Line(02401)","2401HOME HEALTH AIDE AND HOMEMAKER", , , , , , , , , , , , , , , 
"hospc_2013_DATA",33941,"A000000","Line(02420)","2420HH AIDE & HOMEMAKER - CONT HOME", , , , , , , , , , , , , , , 
"hospc_2013_DATA",33941,"A000000","Line(02500)","2500OTHER VISITING SERVICES", , ,"225","611", ,"836", ,"836", ,"836", , , , , 
"hospc_2013_DATA",33941,"A000000","Line(03000)","3000DRUGS  BIOLOGICAL AND INFUSION", , , ,"94396", ,"94396", ,"94396", ,"94396", , , , , 
"hospc_2013_DATA",33941,"A000000","Line(03030)","3030ANALGESICS", , , , , , , , , , , , , , , 
"hospc_2013_DATA",33941,"A000000","Line(03031)","3031SEDATIVES/HYPNOTICS", , , , , , , , , , , , , , , 
"hospc_2013_DATA",33941,"A000000","Line(03032)","3032OTHER - SPECIFY", , , , , , , , , , , , , , , 
"hospc_2013_DATA",33941,"A000000","Line(03100)","3100DURABLE MEDICAL EQUIPMENT/OXYGEN", , , ,"49894", ,"49894", ,"49894", ,"49894", , , , , 
"hospc_2013_DATA",33941,"A000000","Line(03200)","3200PATIENT TRANSPORTATION", , , ,"1028", ,"1028", ,"1028", ,"1028", , , , , 
"hospc_2013_DATA",33941,"A000000","Line(03300)","3300IMAGING SERVICES", , , , , , , , , , , , , , , 
"hospc_2013_DATA",33941,"A000000","Line(03400)","3400LABS AND DIAGNOSTICS", , , ,"798", ,"798", ,"798", ,"798", , , , , 
"hospc_2013_DATA",33941,"A000000","Line(03500)","3500MED SUPPLIES CHARGED TO PATIENTS", , , , , , , , , , , , , , , 
"hospc_2013_DATA",33941,"A000000","Line(03600)","3600OUTPATIENT SERVICES (INCL E/R DE", , , , , , , , , , , , , , , 
"hospc_2013_DATA",33941,"A000000","Line(03700)","3700RADIATION THERAPY", , , , , , , , , , , , , , , 
"hospc_2013_DATA",33941,"A000000","Line(03800)","3800CHEMOTHERAPY", , , , , , , , , , , , , , , 
"hospc_2013_DATA",33941,"A000000","Line(03900)","3900OTHER HOSPICE SERVICE COST CENTE", , , ,"79546","2041","81587", ,"81587", ,"81587", , , , , 
"hospc_2013_DATA",33941,"A000000","Line(03901)","3901OTHER HOSPICE SERVICE COST CENTE", , , , , , , , , , , , , , , 
"hospc_2013_DATA",33941,"A000000","Line(05000)","5000BEREAVEMENT PROGRAM COSTS","8328","1723", ,"3473", ,"13524", ,"13524", ,"13524", , , , , 
"hospc_2013_DATA",33941,"A000000","Line(05001)","5001BEREAVEMENT PROGRAM COSTS", , , , , , , , , , , , , , , 
"hospc_2013_DATA",33941,"A000000","Line(05100)","5100VOLUNTEER PROGRAM COSTS", , , , ,"1929","1929", ,"1929", ,"1929", , , , , 
"hospc_2013_DATA",33941,"A000000","Line(05200)","5200FUNDRAISING", , , , , , , , , , , , , , , 
"hospc_2013_DATA",33941,"A000000","Line(05300)","5300OTHER NONREIMBURSABLE COSTS", , , ,"28364","4039","32403", ,"32403", ,"32403", , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
"-------------","-------------", ,"HOSPC","hospc_2013_DATA"," 33941","A100000 ","-------------","-------------","-----------","", , , , , , , , , 
"-------------","-------------", ,"","COST CENTER DESCRIPTIONS","ADMINIS-","","SOCIAL","","","TOTAL","","","", , , , , , 
"-------------","-------------", ,"","(omit cents)","TRATOR","DIRECTOR","SERVICES","SUPERVISORS","NURSES","THERAPISTS","AIDES","ALL OTHER","TOTAL (1)", , , , , , 
"-------------","-------------", ,"","","1","2","3","4","5","6","7","8","9", , , , , , 
"-------------","-------------", ,"","GENERAL SERVICE COST CENTERS","","","","","","","","","", , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , ,"Entity[33941] Report(A100000[0100])","Entity[33941] Report(A100000[0200])","Entity[33941] Report(A100000[0300])","Entity[33941] Report(A100000[0400])","Entity[33941] Report(A100000[0500])", ,"Entity[33941] Report(A100000[0700])","Entity[33941] Report(A100000[0800])","Entity[33941] Report(A100000[0900])", , , , , , 
"hospc_2013_DATA",33941,"A100000","Line(00500)", , , , , , , , ,"6060","6060", , , , , , 
"hospc_2013_DATA",33941,"A100000","Line(00600)", ,"76662", , , , , , ,"168009","244671", , , , , , 
"hospc_2013_DATA",33941,"A100000","Line(01500)", , ,"40200", , , , , , ,"40200", , , , , , 
"hospc_2013_DATA",33941,"A100000","Line(01600)", , , , ,"38432","318271", , , ,"356703", , , , , , 
"hospc_2013_DATA",33941,"A100000","Line(02000)", , , ,"69288", , , , , ,"69288", , , , , , 
"hospc_2013_DATA",33941,"A100000","Line(02100)", , , , , , , , ,"35274","35274", , , , , , 
"hospc_2013_DATA",33941,"A100000","Line(02400)", , , , ,"25621", , ,"102475", ,"128096", , , , , , 
"hospc_2013_DATA",33941,"A100000","Line(05000)", , , , , , , , ,"8328","8328", , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
"-------------","-------------", ,"HOSPC","hospc_2013_DATA"," 33941","A200000 ","-------------","-------------","-----------","", , , , , , , , , 
"-------------","-------------", ,"","COST CENTER DESCRIPTIONS","ADMINIS-","","SOCIAL","","","TOTAL","","","", , , , , , 
"-------------","-------------", ,"","(omit cents)","TRATOR","DIRECTOR","SERVICES","SUPERVISORS","NURSES","THERAPISTS","AIDES","ALL OTHER","TOTAL (1)", , , , , , 
"-------------","-------------", ,"","","1","2","3","4","5","6","7","8","9", , , , , , 
"-------------","-------------", ,"","GENERAL SERVICE COST CENTERS","","","","","","","","","", , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , ,"Entity[33941] Report(A200000[0100])", ,"Entity[33941] Report(A200000[0300])","Entity[33941] Report(A200000[0400])","Entity[33941] Report(A200000[0500])", ,"Entity[33941] Report(A200000[0700])","Entity[33941] Report(A200000[0800])","Entity[33941] Report(A200000[0900])", , , , , , 
"hospc_2013_DATA",33941,"A200000","Line(00500)", , , , , , , , ,"6951","6951", , , , , , 
"hospc_2013_DATA",33941,"A200000","Line(00600)", ,"15726", , , , , , ,"41543","57269", , , , , , 
"hospc_2013_DATA",33941,"A200000","Line(01600)", , , , ,"8971","66443", , , ,"75414", , , , , , 
"hospc_2013_DATA",33941,"A200000","Line(02000)", , , ,"13941", , , , , ,"13941", , , , , , 
"hospc_2013_DATA",33941,"A200000","Line(02100)", , , , , , , , ,"14012","14012", , , , , , 
"hospc_2013_DATA",33941,"A200000","Line(02400)", , , , ,"5980", , ,"32191", ,"38171", , , , , , 
"hospc_2013_DATA",33941,"A200000","Line(05000)", , , , , , , , ,"1723","1723", , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
"-------------","-------------", ,"HOSPC","hospc_2013_DATA"," 33941","A300000 ","-------------","-------------","-----------","", , , , , , , , , 
"-------------","-------------", ,"","COST CENTER DESCRIPTIONS","ADMINIS-","","SOCIAL","","","TOTAL","","","", , , , , , 
"-------------","-------------", ,"","(omit cents)","TRATOR","DIRECTOR","SERVICES","SUPERVISORS","NURSES","THERAPISTS","AIDES","ALL OTHER","TOTAL (1)", , , , , , 
"-------------","-------------", ,"","","1","2","3","4","5","6","7","8","9", , , , , , 
"-------------","-------------", ,"","GENERAL SERVICE COST CENTERS","","","","","","","","","", , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , ,"Entity[33941] Report(A300000[0200])", , , ,"Entity[33941] Report(A300000[0600])", ,"Entity[33941] Report(A300000[0800])","Entity[33941] Report(A300000[0900])", , , , , , 
"hospc_2013_DATA",33941,"A300000","Line(00600)", , , , , , , , ,"49744","49744", , , , , , 
"hospc_2013_DATA",33941,"A300000","Line(01000)", , , , , , , , ,"72844","72844", , , , , , 
"hospc_2013_DATA",33941,"A300000","Line(01500)", , ,"6652", , , , , , ,"6652", , , , , , 
"hospc_2013_DATA",33941,"A300000","Line(01700)", , , , , , ,"2159", , ,"2159", , , , , , 
"hospc_2013_DATA",33941,"A300000","Line(01800)", , , , , , ,"673", , ,"673", , , , , , 
"hospc_2013_DATA",33941,"A300000","Line(02500)", , , , , , , , ,"611","611", , , , , , 
"hospc_2013_DATA",33941,"A300000","Line(03000)", , , , , , , , ,"94396","94396", , , , , , 
"hospc_2013_DATA",33941,"A300000","Line(03100)", , , , , , , , ,"49894","49894", , , , , , 
"hospc_2013_DATA",33941,"A300000","Line(03200)", , , , , , , , ,"1028","1028", , , , , , 
"hospc_2013_DATA",33941,"A300000","Line(03400)", , , , , , , , ,"798","798", , , , , , 
"hospc_2013_DATA",33941,"A300000","Line(03900)", , , , , , , , ,"79546","79546", , , , , , 
"hospc_2013_DATA",33941,"A300000","Line(05000)", , , , , , , , ,"3473","3473", , , , , , 
"hospc_2013_DATA",33941,"A300000","Line(05300)", , , , , , , , ,"28364","28364", , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
